contrast 	task	neurovault image	name	Terms
go-critical minus go-noncritical	conditional stop signal task	3039	task002 009 go-critical minus go-noncritical	proactive control, selective control
unsucc minus succ stop	conditional stop signal task	3040	task002 008 unsucc minus succ stop	error detection
succstop minus go	conditional stop signal task	3041	task002 010 succstop minus go	selective control, oddball detection, response inhibition, auditory tone detection
go	stop signal task	143	task001 001 go	visual form recognition, response selection, response execution, proactive control
go-noncritical	conditional stop signal task	144	task002 002 go-noncritical	visual form recognition, response selection, response execution, proactive control, selective control
successful stop	stop signal task	147	task001 002 successful stop	visual form recognition, response selection, response execution, proactive control, oddball detection, response inhibition, auditory tone detection
failed stop	stop signal task	146	task001 003 failed stop	visual form recognition, response selection, response execution, proactive control, oddball detection, response inhibition, auditory tone detection, error detection
successful stop-critical	conditional stop signal task	149	task002 003 successful stop-critical	visual form recognition, response selection, response execution, proactive control, selective control, oddball detection, response inhibition, auditory tone detection
failed stop-critical	conditional stop signal task	142	task002 004 failed stop-critical	visual form recognition, response selection, response execution, proactive control, selective control, oddball detection, response inhibition, auditory tone detection, error detection
failed stop-noncritical	conditional stop signal task	154	task002 005 failed stop-noncritical	vision form recognition, response selection, response execution, proactive control, selective control, oddball detection, auditory tone detection
Faces	Emotion Processing fMRI Task Paradigm	3129	tfMRI EMOTION FACES zstat1	emotional face recognition, response selection, response execution, feature comparison
Shapes	Emotion Processing fMRI Task Paradigm	3131	tfMRI EMOTION SHAPES zstat1	visual form recognition, response selection, response execution, feature comparison
Random Interaction	Social Cognition fMRI Task Paradigm	3179	tfMRI SOCIAL RANDOM zstat1	visual form recognition, spatial attention, motion detection, response selection, response execution, animacy decision
Mental Interaction - Random Interaction	Social Cognition fMRI Task Paradigm	3180	tfMRI SOCIAL TOM-RANDOM zstat1	animacy perception
Matching	Relational Processing fMRI Task Paradigm	3173	tfMRI RELATIONAL MATCH zstat1	visual pattern recognition, visual form recognition, feature comparison, response selection, response execution
Relational Processing	Relational Processing fMRI Task Paradigm	3175	tfMRI RELATIONAL REL zstat1	visual pattern recognition, visual form recognition, feature comparison, response selection, response execution, relational comparison
Relational Processing minus Matching	Relational Processing fMRI Task Paradigm	8820	tfMRI RELATIONAL REL minus MATCHING	relational comparison
0-back Face	Working Memory fMRI Task Paradigm	3186	tfMRI WM 0BK FACE zstat1	vision face recognition, response selection, response execution, face maintenance
0-back Place	Working Memory fMRI Task Paradigm	3187	tfMRI WM 0BK PLACE zstat1	visual scene recognition, response selection, response execution, place maintenance
0-back Body	Working Memory fMRI Task Paradigm	3185	tfMRI WM 0BK BODY zstat1	visual body recognition, response selection, response execution, body maintenance
0-back Tool	Working Memory fMRI Task Paradigm	3188	tfMRI WM 0BK TOOL zstat1	visual tool recognition, response selection, response execution, tool maintenance
2-back Body	Working Memory fMRI Task Paradigm	3191	tfMRI WM 2BK BODY zstat1	visual body recognition, response selection, response execution, body maintenance, updating
2-back Face	Working Memory fMRI Task Paradigm	3192	tfMRI WM 2BK FACE zstat1	visual face recognition, response selection, response execution, face maintenance, updating
2-back Place	Working Memory fMRI Task Paradigm	3193	tfMRI WM 2BK PLACE zstat1	visual place recognition, response selection, response execution, place maintenance, updating
2-back Tool	Working Memory fMRI Task Paradigm	3194	tfMRI WM 2BK TOOL zstat1	visual tool recognition, response selection, response execution, tool maintenance, updating
Look_Neutral_Stim	emotional regulation task (openfmri ds108)	2863	task001 cope004 tstat1	visual recognition
Reapp_Neg_Stim_gt_Look_Neg_Stim	emotional regulation task (openfmri ds108)	2866	task001 cope024 tstat1	emotional reappraisal
Look Neg Stim	emotional regulation task (openfmri ds108)	8727	task001 cope05 Look Neg Stim	visual recognition, negative emotion
