	action selection	aesthetic evaluation	animacy decision	animacy perception	appetitive motivation	appetitive reward	auditory sentence comprehension	auditory tone detection	auditory tone discrimination	auditory word comprehension	body maintenance	calculation	categorization	causal inference	color recognition	computation	confidence judgment	decision certainty	economic value processing	emotional face recognition	emotional reappraisal	emotional salience priming	emotional self-evaluation	error detection	face maintenance	face perception	facial emotion recognition	feature comparison	feedback	graded decision making	language processing	language processing (neg.)	loss anticipation	motion detection	motor execution	motor response	negative emotion	negative feedback processing	negative social feedback	novelty detection	number processing	numerical scale judgment	object maintenance	object-based attention	oddball detection	pattern maintenance	place maintenance	positive feedback processing	positive social feedback	potential monetary loss	potential monetary reward	proactive control	punishment	reading	reinforcement learning	relational comparison	resistance to distractor interference	response conflict	response execution	response inhibition	response selection	reward anticipation	risk aversion	risk processing	risk seeking	selective control	semantic categorization	social judgment	spatial attention	spatial selective attention	string maintenance	task difficulty	theory of mind	tool maintenance	trait anxiety	updating	value judgement	vision face recognition	vision form recognition	visual body recognition	visual color discrimination	visual face recognition	visual form discrimination	visual form recognition	visual number recognition	visual object detection	visual object recognition	visual pattern recognition	visual place recognition	visual recognition	visual scene recognition	visual string recognition	visual tool recognition	visual word recognition	word maintenance	files	image_id
conditional stop signal task :: go-critical minus go-noncritical	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope09_go_crit-go_noncrit.nii.gz	3039
conditional stop signal task :: unsucc minus succ stop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope08_unsucc_minus_succ_stop.nii.gz	3040
conditional stop signal task :: succstop minus go	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope10_succstop_minus_go.nii.gz	3041
stop signal task :: go	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task001_cope01_go.nii.gz	143
conditional stop signal task :: go-noncritical	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope02_go-noncritical.nii.gz	144
stop signal task :: successful stop	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task001_cope02_successful%20stop.nii.gz	147
stop signal task :: failed stop	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task001_cope03_failed%20stop.nii.gz	146
conditional stop signal task :: successful stop-critical	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope03_successful%20stop-critical.nii.gz	149
conditional stop signal task :: failed stop-critical	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope04_failed%20stop-critical.nii.gz	142
conditional stop signal task :: failed stop-noncritical	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://neurovault.org/media/images/42/task002_cope05_failed%20stop-noncritical.nii.gz	154
